id	huric_source_file	frame	sentence	lu	disc	lu+disc	disc2	lu+disc2
143	2378.xml	Motion	go,towards,the,sink,on,the,left,hand,side	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
144	2379.xml	Following	robot,follow,me,slowly	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
145	2380.xml	Motion	please,go,to,the,chair	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
146	2381.xml	Being_in_category	this,is,a,bedroom,with,one,bed,and,two,night,stands	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0
147	2382.xml	Searching	can,you,please,search,the,book	0,0,0,1,0,0	0,0,0,0,0,0	0,0,0,1,0,0	0,0,0,0,0,0	0,0,0,1,0,0
148	2382.xml	Bringing	bring,it,to,me	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
149	2387.xml	Following	follow,me,very,fast	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
150	2390.xml	Bringing	robot,please,take,the,mug,to,the,sink	0,0,1,0,0,0,0,0	0,0,0,0,0,1,0,0	0,0,1,0,0,1,0,0	0,0,0,0,0,1,0,0	0,0,1,0,0,1,0,0
151	2394.xml	Following	robot,please,follow,the,postman	0,0,1,0,0	0,0,0,0,0	0,0,1,0,0	0,0,0,0,0	0,0,1,0,0
152	2397.xml	Motion	robot,go,to,the,shower	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
153	2399.xml	Being_in_category	robot,this,is,the,bedroom,with,a,double,bed,with,two,lights,next,to,it	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154	2403.xml	Bringing	carry,the,phone,to,the,chair	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
155	2404.xml	Being_located	there,is,a,radio,next,to,the,bed	1,1,0,0,0,0,0,0	0,0,0,0,1,0,0,0	1,1,0,0,1,0,0,0	0,0,0,0,1,1,0,0	1,1,0,0,1,1,0,0
156	2405.xml	Searching	please,find,the,fruit	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
157	2406.xml	Motion	please,go,to,the,sink	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
158	2407.xml	Following	please,follow,me,to,the,table	0,1,0,0,0,0	0,0,0,0,0,0	0,1,0,0,0,0	0,0,0,0,0,0	0,1,0,0,0,0
159	2408.xml	Bringing	bring,the,cigarettes,near,the,counter,on,the,right	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
160	2409.xml	Motion	go,to,the,bathroom	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
161	2409.xml	Taking	take,the,rag	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
162	2409.xml	Motion	go,to,the,hall	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
163	2410.xml	Motion	move,near,the,television,of,the,kitchen	1,0,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0
164	2411.xml	Bringing	bring,me,my,towel,that,is,in,the,bathroom	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
166	2412.xml	Bringing	deliver,this,message,to,the,person,in,the,living,room	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0
167	2413.xml	Motion	go,to,living,room	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
168	2413.xml	Change_operational_state	turn,on,the,tv	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
169	2414.xml	Taking	take,the,remote,control	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
170	2414.xml	Change_operational_state	turn,on,the,tv	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
171	2415.xml	Motion	go,in,front,of,the,main,door	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
172	2415.xml	Closure	open,it	1,0	0,0	1,0	0,0	1,0
173	2416.xml	Taking	grab,the,box,on,the,left,of,the,desktop	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
174	2417.xml	Bringing	bring,slowly,the,box,near,the,counter,of,the,kitchen	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0
175	2418.xml	Bringing	could,you,please,move,the,trash,bin,from,the,kitchen,to,the,studio	0,0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,1,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,1,0,0	0,0,0,1,0,0,0,1,0,0,1,0,0
176	2419.xml	Attaching	disconnect,from,the,laptop,at,the,right,of,the,counter	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0
177	2422.xml	Placing	hang,this,jacket,in,the,closet,of,the,corridor	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
178	2424.xml	Inspecting	check,the,toilet,paper	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
179	2425.xml	Being_located	there,are,two,couches,facing,one,another	1,1,0,0,0,0,0	0,0,0,0,0,0,0	1,1,0,0,0,0,0	0,0,0,0,0,0,0	1,1,0,0,0,0,0
180	2426.xml	Being_located	there,is,a,table,in,the,center,of,the,dining,room	1,1,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0	1,1,0,0,1,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0	1,1,0,0,1,0,0,0,0,0,0
181	2427.xml	Motion	please,move,to,the,front,of,the,fridge	0,1,0,0,0,0,0,0	0,0,1,0,0,0,0,0	0,1,1,0,0,0,0,0	0,0,1,0,0,0,0,0	0,1,1,0,0,0,0,0
182	2431.xml	Inspecting	could,you,please,check,if,the,coffee,is,ready	0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0
183	2433.xml	Being_located	in,this,room,there,are,six,chairs	0,0,0,1,1,0,0	1,0,0,0,0,0,0	1,0,0,1,1,0,0	1,0,0,0,0,0,0	1,0,0,1,1,0,0
184	2434.xml	Giving	give,me,the,towel	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
185	2629.xml	Bringing	bring,the,box,near,the,closet,of,the,bedroom	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
186	2630.xml	Entering	enter,the,door	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
187	2632.xml	Closure	open,the,bottle	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
188	2633.xml	Bringing	bring,the,paper,near,the,television	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
189	2634.xml	Bringing	bring,the,pillow,to,the,couch,of,the,bedroom	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
190	2635.xml	Bringing	carry,the,laptop,to,daniele	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
191	2636.xml	Bringing	carry,the,paper,near,the,counter	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
192	2637.xml	Bringing	carry,the,pillow,near,the,window,of,the,bedroom	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
193	2638.xml	Taking	catch,the,phone,at,the,right,of,the,desk	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
194	2639.xml	Taking	catch,the,pillow	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
195	2640.xml	Closure	close,the,case,on,the,bed	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
196	2641.xml	Closure	close,the,door,on,the,right	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
197	2642.xml	Closure	close,the,jar	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
198	2643.xml	Closure	close,the,window,on,the,left	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
199	2644.xml	Attaching	connect,to,the,pc,on,your,left	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
200	2645.xml	Entering	enter,the,bathroom	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
201	2646.xml	Entering	enter,the,door,of,the,kitchen	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
202	2647.xml	Entering	enter,the,kitchen	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
203	2648.xml	Motion	go,to,the,counter,at,your,left	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
204	2649.xml	Motion	go,to,the,toilet	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
205	2650.xml	Taking	grab,the,cigarettes,next,to,the,phone	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
206	2651.xml	Taking	grab,the,bottle	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
207	2652.xml	Taking	grab,the,pillow,at,the,left,of,the,couch	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
208	2653.xml	Perception_active	look,at,me	1,0,0	0,1,0	1,1,0	0,1,0	1,1,0
209	2654.xml	Searching	look,for,the,glass,in,the,bedroom	1,0,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0
210	2655.xml	Searching	look,for,the,wrench,in,the,bathroom	1,0,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0
211	2656.xml	Motion	move,near,the,couch,of,the,bedroom,slowly	1,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0	1,1,0,0,0,0,0,0	0,1,0,0,0,0,0,0	1,1,0,0,0,0,0,0
212	2657.xml	Motion	move,near,the,counter	1,0,0,0	0,1,0,0	1,1,0,0	0,1,0,0	1,1,0,0
213	2658.xml	Motion	move,near,the,window	1,0,0,0	0,1,0,0	1,1,0,0	0,1,0,0	1,1,0,0
214	2659.xml	Motion	move,to,the,fridge	1,0,0,0	0,1,0,0	1,1,0,0	0,1,0,0	1,1,0,0
215	2660.xml	Closure	open,the,box,on,the,left,of,the,recorder	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
216	2661.xml	Searching	search,in,the,corridor,for,the,jar	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
217	2662.xml	Taking	take,the,bottle,near,the,fridge	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0
218	2664.xml	Bringing	take,the,jar,to,the,table,of,the,kitchen	1,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0	1,0,0,1,0,0,0,0,0	0,0,0,1,0,0,0,0,0	1,0,0,1,0,0,0,0,0
219	2665.xml	Bringing	take,the,paper,to,the,bathroom	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
220	2667.xml	Taking	take,the,phone,on,the,couch	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0
221	2668.xml	Taking	take,the,phone,on,the,left,of,the,pc	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0	1,0,0,1,0,0,0,0,0
222	2669.xml	Bringing	take,the,screwdriver,to,daniele	1,0,0,0,0	0,0,0,1,0	1,0,0,1,0	0,0,0,1,0	1,0,0,1,0
223	2670.xml	Change_operational_state	turn,on,the,switch	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
224	2671.xml	Motion	walk,to,the,stairs,quickly	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
225	2672.xml	Change_operational_state	activate,the,television	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
226	2673.xml	Change_operational_state	activate,the,television,at,the,right,of,the,console	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
227	2674.xml	Bringing	bring,me,the,bottle	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
228	2675.xml	Bringing	bring,the,book,to,the,dining,room	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
229	2676.xml	Bringing	bring,the,bottle,to,the,bathroom,sink	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
230	2677.xml	Bringing	bring,the,bottle,to,the,couch	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
231	2678.xml	Bringing	bring,the,bottle,to,the,kitchen	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
232	2679.xml	Bringing	bring,the,mobile,to,the,dining,room	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
233	2680.xml	Bringing	bring,the,mobile,to,the,living,room	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
234	2681.xml	Bringing	bring,the,mug,to,the,bedroom	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
235	2682.xml	Bringing	bring,the,phone,to,the,bedroom	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
236	2683.xml	Bringing	carry,the,mug,to,the,living,room	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
237	2684.xml	Motion	come,to,the,table	1,0,0,0	0,1,0,0	1,1,0,0	0,1,0,0	1,1,0,0
238	2685.xml	Bringing	could,you,bring,the,phone,to,the,bathroom	0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0
239	2686.xml	Searching	find,a,bottle,in,the,kitchen	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
240	2687.xml	Searching	find,my,address,book,in,the,living,room	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
241	2688.xml	Searching	find,my,hat,on,the,bed,in,the,bedroom	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
242	2689.xml	Searching	find,the,bed,in,the,bathroom	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
243	2690.xml	Searching	find,the,bottle	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
244	2691.xml	Searching	find,the,bottle,of,wine,in,the,kitchen	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
245	2692.xml	Searching	find,the,phone	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
246	2693.xml	Searching	find,the,phone,in,the,studio	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
247	2694.xml	Searching	find,the,pillow	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
248	2695.xml	Searching	find,the,plates,on,the,table	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
249	2696.xml	Searching	find,the,shower	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
250	2697.xml	Searching	find,the,stove,in,the,studio	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
251	2698.xml	Searching	find,the,table,in,the,bedroom	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
252	2699.xml	Searching	find,the,television	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
253	2700.xml	Searching	find,the,white,vase	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
254	2701.xml	Searching	find,vittorio,'s,phone	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
255	2702.xml	Following	follow,john,slowly	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
256	2703.xml	Following	follow,mark,slowly	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
257	2704.xml	Following	follow,me,slowly	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
258	2705.xml	Following	follow,the,guy,in,the,blue,hoodie	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
259	2706.xml	Taking	get,the,phone	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
260	2706.xml	Bringing	take,it,to,the,bathroom	1,0,0,0,0	0,0,1,0,0	1,0,1,0,0	0,0,1,0,0	1,0,1,0,0
261	2707.xml	Searching	go,find,the,book	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
262	2708.xml	Taking	go,get,the,book	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
263	2709.xml	Motion	go,into,the,bathroom	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
264	2710.xml	Motion	go,into,the,dining,room	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
265	2711.xml	Motion	go,near,the,couch	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
266	2712.xml	Motion	go,to,dining,room	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
267	2713.xml	Motion	go,to,studio	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
268	2714.xml	Motion	go,to,the,closet,of,the,dining,room	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
269	2715.xml	Motion	go,to,the,fridge	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
270	2716.xml	Motion	go,to,the,living,room	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
271	2717.xml	Motion	go,to,the,lounge	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
272	2718.xml	Motion	go,to,the,studio	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
273	2719.xml	Motion	go,to,the,television,in,the,living,room	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
274	2720.xml	Motion	go,to,the,television,in,the,studio	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
275	2721.xml	Searching	look,for,my,handbag,in,the,dining,room	1,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0	1,1,0,0,0,0,0,0	0,1,0,0,0,0,0,0	1,1,0,0,0,0,0,0
276	2722.xml	Searching	look,for,my,phone	1,0,0,0	0,1,0,0	1,1,0,0	0,1,0,0	1,1,0,0
277	2723.xml	Searching	look,for,my,phone,in,the,bathroom,and,the,bedroom	1,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	1,1,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	1,1,0,0,0,0,0,0,0,0
278	2724.xml	Searching	look,for,the,bed,in,the,bathroom	1,0,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0
279	2725.xml	Searching	look,for,the,soap,in,the,bathroom	1,0,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0
280	2726.xml	Motion	move,towards,the,bedroom	1,0,0,0	0,1,0,0	1,1,0,0	0,1,0,0	1,1,0,0
281	2727.xml	Motion	move,towards,the,kitchen	1,0,0,0	0,1,0,0	1,1,0,0	0,1,0,0	1,1,0,0
282	2728.xml	Searching	please,find,the,bed	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
283	2729.xml	Searching	please,find,the,table,in,the,bedroom	0,1,0,0,0,0,0	0,0,0,0,0,0,0	0,1,0,0,0,0,0	0,0,0,0,0,0,0	0,1,0,0,0,0,0
284	2730.xml	Following	please,follow,me,to,the,living,room	0,1,0,0,0,0,0	0,0,0,0,0,0,0	0,1,0,0,0,0,0	0,0,0,0,0,0,0	0,1,0,0,0,0,0
285	2731.xml	Following	please,follow,that,person	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
286	2732.xml	Taking	please,get,the,cushion,from,the,bed	0,1,0,0,0,0,0	0,0,0,0,1,0,0	0,1,0,0,1,0,0	0,0,0,0,1,0,0	0,1,0,0,1,0,0
287	2733.xml	Motion	please,move,towards,the,living,room	0,1,0,0,0,0	0,0,1,0,0,0	0,1,1,0,0,0	0,0,1,0,0,0	0,1,1,0,0,0
288	2734.xml	Placing	please,put,the,book,in,the,dining,room	0,1,0,0,0,0,0,0	0,0,0,0,1,0,0,0	0,1,0,0,1,0,0,0	0,0,0,0,1,0,0,0	0,1,0,0,1,0,0,0
289	2735.xml	Placing	please,put,the,book,on,the,table,in,the,dining,room	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0	0,1,0,0,1,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0	0,1,0,0,1,0,0,0,0,0,0
290	2736.xml	Bringing	please,take,the,book,to,the,bathroom	0,1,0,0,0,0,0	0,0,0,0,1,0,0	0,1,0,0,1,0,0	0,0,0,0,1,0,0	0,1,0,0,1,0,0
291	2737.xml	Bringing	please,take,the,mug,to,the,bedroom	0,1,0,0,0,0,0	0,0,0,0,1,0,0	0,1,0,0,1,0,0	0,0,0,0,1,0,0	0,1,0,0,1,0,0
292	2738.xml	Motion	please,walk,slowly,to,the,kitchen	0,1,0,0,0,0	0,0,0,0,0,0	0,1,0,0,0,0	0,0,0,0,0,0	0,1,0,0,0,0
293	2739.xml	Placing	put,the,book,on,the,bed	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
