id	huric_source_file	frame	sentence	lu	disc	lu+disc	disc2	lu+disc2
294	2740.xml	Placing	put,the,bottle,on,the,table,in,the,dining,room	1,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0	1,0,0,1,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0	1,0,0,1,0,0,0,0,0,0
295	2741.xml	Placing	put,the,bottle,on,the,table,in,the,studio	1,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0	1,0,0,1,0,0,0,0,0	0,0,0,1,0,0,0,0,0	1,0,0,1,0,0,0,0,0
296	2742.xml	Placing	put,the,phone,in,the,kitchen,stove	1,0,0,0,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0
297	2743.xml	Placing	put,the,phone,on,the,table,in,the,dining,room	1,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0	1,0,0,1,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0	1,0,0,1,0,0,0,0,0,0
298	2744.xml	Searching	search,for,a,pillow,in,the,living,room	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
299	2745.xml	Motion	reach,martina,from,behind	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
300	2746.xml	Searching	search,for,the,bottle	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
301	2747.xml	Searching	search,for,the,stove,in,the,studio	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
302	2748.xml	Bringing	take,the,book,to,the,bedroom	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
303	2749.xml	Bringing	take,the,bottle,to,the,bedroom	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
304	2750.xml	Bringing	take,the,bottle,to,the,dining,room	1,0,0,0,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0
305	2751.xml	Bringing	take,the,bottle,to,the,kitchen	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
306	2752.xml	Bringing	take,the,mobile,into,the,bedroom	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
307	2754.xml	Bringing	take,the,phone,to,the,bathroom	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
308	2755.xml	Bringing	take,the,phone,to,the,bedroom	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
309	2756.xml	Releasing	drop,the,phone,in,the,kitchen,fridge	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
310	2757.xml	Releasing	leave,the,book,in,the,bedroom	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
311	2758.xml	Giving	give,me,one,apple,from,the,table	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
312	2760.xml	Being_in_category	it,'s,a,diningroom,with,a,table,of,glass,in,it,with,six,chairs	0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0,0
313	2764.xml	Attaching	disconnect,from,the,router	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
314	3038.xml	Bringing	bring,me,a,glass,of,water	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
315	3039.xml	Bringing	bring,me,the,cereals,and,the,milk	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
316	3040.xml	Bringing	bring,me,the,cookie,jar	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
317	3041.xml	Bringing	bring,me,the,glasses	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
318	3042.xml	Bringing	bring,the,beers,here	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
319	3042.xml	Placing	put,them,on,the,table,next,to,the,couch	1,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0	1,0,1,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0	1,0,1,0,0,0,0,0,0
320	3043.xml	Bringing	bring,the,fruit,onto,the,dining,table	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
321	3044.xml	Bringing	bring,the,toilet,paper,to,the,bathroom	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
322	3045.xml	Bringing	bring,us,some,mustard	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
323	3046.xml	Bringing	can,you,bring,me,my,eyeglass	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0
324	3046.xml	Searching	you,can,find,it,on,the,table,in,the,dining,room	0,0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0
325	3047.xml	Bringing	can,you,bring,me,my,tablet	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0
326	3048.xml	Bringing	can,you,bring,the,glass,to,the,sink	0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0
327	3049.xml	Bringing	can,you,bring,the,mayo,over,here	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0
328	3050.xml	Searching	can,you,find,a,red,t-shirt,in,the,dresser	0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0
329	3051.xml	Motion	can,you,go,to,the,kitchen	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0
330	3051.xml	Searching	find,a,glass	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
331	3051.xml	Bringing	bring,it,to,me	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
332	3052.xml	Motion	can,you,move,a,little,bit,to,the,right	0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0	0,0,1,0,0,0,1,0,0	0,0,0,0,0,0,1,0,0	0,0,1,0,0,0,1,0,0
333	3053.xml	Searching	carefully,search,for,my,wallet	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
334	3054.xml	Motion	could,you,go,to,the,bedroom	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0
335	3054.xml	Taking	take,the,postcard,on,the,nightstand	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0
336	3055.xml	Bringing	could,you,please,bring,us,some,water	0,0,0,1,0,0,0	0,0,0,0,0,0,0	0,0,0,1,0,0,0	0,0,0,0,0,0,0	0,0,0,1,0,0,0
337	3056.xml	Taking	could,you,take,the,knife,on,the,cutting,board	0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0	0,0,1,0,0,1,0,0,0
338	3057.xml	Searching	do,you,think,you,can,find,my,wallet	0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0	0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0
339	3058.xml	Releasing	drop,the,vase	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
340	3059.xml	Searching	find,a,bottle,of,water	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
341	3060.xml	Searching	find,a,magazine	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
342	3061.xml	Searching	find,my,tablet	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
343	3062.xml	Searching	find,the,keys	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
344	3063.xml	Searching	find,the,wallet	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
345	3064.xml	Motion	go,close,to,the,window	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
346	3065.xml	Motion	go,in,front,of,the,poster	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
347	3066.xml	Motion	go,in,the,bathroom	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
348	3066.xml	Searching	find,the,newspaper	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
349	3067.xml	Motion	go,in,the,dining,room	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
350	3067.xml	Taking	remove,the,tablecloth	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
351	3068.xml	Motion	go,in,the,kitchen	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
352	3068.xml	Change_operational_state	switch,off,the,coffee,machine,and,the,dishwasher	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
353	3069.xml	Motion	go,near,the,lamp	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
354	3070.xml	Motion	go,near,the,window	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
355	3071.xml	Motion	go,next,to,the,door	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
356	3072.xml	Motion	go,next,to,the,tv,set	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
357	3073.xml	Motion	go,to,the,coffee,machine	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
358	3074.xml	Motion	go,to,the,dining,room	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
359	3074.xml	Taking	take,all,the,plates,from,the,table	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0
360	3074.xml	Placing	put,them,in,the,dishwasher	1,0,0,0,0	0,0,1,0,0	1,0,1,0,0	0,0,1,0,0	1,0,1,0,0
361	3075.xml	Motion	go,to,the,garden	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
362	3076.xml	Motion	go,to,the,right,of,the,sofa	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
363	3077.xml	Taking	grab,the,beer,pack,near,the,kitchen,door	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
364	3078.xml	Taking	grab,the,book,with,the,blue,cover	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
365	3079.xml	Taking	grab,the,cake,plate	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
366	3080.xml	Taking	grab,the,key,lanyard	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
367	3081.xml	Taking	grab,this,mug	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
368	3083.xml	Searching	i,need,my,watch,find,it	0,0,0,0,1,0	0,0,0,0,0,0	0,0,0,0,1,0	0,0,0,0,0,0	0,0,0,0,1,0
369	3084.xml	Bringing	i,really,need,you,to,bring,me,my,aspirin	0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0
370	3084.xml	Being_located	it,is,in,one,of,the,drawers,of,the,bathroom	0,1,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0	0,1,1,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0	0,1,1,0,0,0,0,0,0,0
371	3085.xml	Bringing	i,want,some,fruit,bring,me,an,apple,or,an,orange	0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0
372	3086.xml	Taking	i,would,like,some,beer,can,you,grab,one,from,the,fridge	0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0,0,0,0
373	3086.xml	Bringing	bring,it,here	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
374	3087.xml	Releasing	let,go,of,the,pack,of,beer	1,1,0,0,0,0,0	0,0,0,0,0,0,0	1,1,0,0,0,0,0	0,0,0,0,0,0,0	1,1,0,0,0,0,0
375	3088.xml	Searching	look,for,a,blue,book,in,the,lounge	1,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0	1,1,0,0,0,0,0,0	0,1,0,0,0,0,0,0	1,1,0,0,0,0,0,0
376	3089.xml	Searching	look,for,my,mobile,phone	1,0,0,0,0	0,1,0,0,0	1,1,0,0,0	0,1,0,0,0	1,1,0,0,0
377	3090.xml	Motion	move,along,the,wall	1,0,0,0	0,1,0,0	1,1,0,0	0,1,0,0	1,1,0,0
378	3091.xml	Motion	move,away,from,the,oven	1,0,0,0,0	0,0,1,0,0	1,0,1,0,0	0,1,1,0,0	1,1,1,0,0
379	3092.xml	Motion	move,to,bedroom	1,0,0	0,1,0	1,1,0	0,1,0	1,1,0
380	3093.xml	Motion	move,to,the,bedroom	1,0,0,0	0,1,0,0	1,1,0,0	0,1,0,0	1,1,0,0
381	3094.xml	Motion	move,to,the,dining,room	1,0,0,0,0	0,1,0,0,0	1,1,0,0,0	0,1,0,0,0	1,1,0,0,0
382	3095.xml	Searching	please,find,the,sunglasses	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
383	3096.xml	Searching	please,find,the,toilet,paper	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
384	3097.xml	Motion	please,move,along,the,fences	0,1,0,0,0	0,0,1,0,0	0,1,1,0,0	0,0,1,0,0	0,1,1,0,0
385	3098.xml	Placing	please,robot,put,the,pan,on,the,stove	0,0,1,0,0,0,0,0	0,0,0,0,0,1,0,0	0,0,1,0,0,1,0,0	0,0,0,0,0,1,0,0	0,0,1,0,0,1,0,0
386	3098.xml	Inspecting	control,it	1,0	0,0	1,0	0,0	1,0
387	3099.xml	Taking	please,take,some,pasta,from,the,kitchen,cabinet	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0	0,0,0,0,1,0,0,0	0,1,0,0,1,0,0,0
388	3100.xml	Placing	put,down,the,newspaper	1,0,0,0	0,1,0,0	1,1,0,0	0,1,0,0	1,1,0,0
389	3101.xml	Placing	put,my,clothes,in,the,washing,machine	1,0,0,0,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0
390	3102.xml	Placing	put,my,jacket,on,the,bed	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
391	3103.xml	Placing	put,the,baking,tray,in,the,oven	1,0,0,0,0,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0
392	3104.xml	Placing	put,the,jacket,in,the,wardrobe	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
393	3105.xml	Placing	put,the,kettle,on,the,stove	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
394	3106.xml	Placing	put,the,milk,in,the,fridge	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
395	3107.xml	Placing	put,the,mobile,phone,in,the,nightstand	1,0,0,0,0,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0
396	3108.xml	Placing	put,the,pillow,on,the,bed	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
397	3109.xml	Placing	put,the,pillow,on,the,chair	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
398	3110.xml	Placing	put,the,soap,on,the,bathroom,sink	1,0,0,0,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0
399	3111.xml	Placing	put,this,book,on,the,bookshelf	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
400	3112.xml	Placing	put,this,pan,on,the,stove	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
401	3113.xml	Releasing	release,the,bag	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
402	3114.xml	Releasing	release,the,pot	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
403	3115.xml	Bringing	robot,can,you,bring,the,cornflakes,box,from,the,kitchen,table	0,0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,0
404	3116.xml	Searching	robot,can,you,find,a,pack,of,napkins	0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0
405	3117.xml	Searching	robot,carefully,search,the,bedroom,for,my,mobile,phone	0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0
406	3118.xml	Motion	robot,could,you,move,near,the,table	0,0,0,1,0,0,0	0,0,0,0,1,0,0	0,0,0,1,1,0,0	0,0,0,0,1,0,0	0,0,0,1,1,0,0
407	3119.xml	Motion	robot,i,need,you,in,the,bathroom,go,there	0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,1,0
408	3120.xml	Motion	robot,listen,go,into,the,bedroom	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0
409	3120.xml	Searching	find,the,black,pen	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
410	3120.xml	Being_located	it,should,be,on,the,nightstand	0,0,1,0,0,0	0,0,0,1,0,0	0,0,1,1,0,0	0,0,0,1,0,0	0,0,1,1,0,0
411	3121.xml	Searching	robot,please,search,for,the,horn,glasses	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0
412	3122.xml	Placing	robot,put,this,plate,in,the,center,of,the,table	0,1,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0	0,1,0,0,1,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0	0,1,0,0,1,0,0,0,0,0
413	3123.xml	Motion	robot,why,do,n't,you,go,around	0,0,0,0,0,1,0	0,0,0,0,0,0,0	0,0,0,0,0,1,0	0,0,0,0,0,0,0	0,0,0,0,0,1,0
414	3123.xml	Searching	search,for,my,hat	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
415	3124.xml	Searching	search,for,a,blue,plate	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
416	3125.xml	Searching	search,for,the,scissors,in,the,red,drawer	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
417	3126.xml	Searching	search,for,the,scissors	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
418	3126.xml	Being_located	they,should,be,in,the,blue,drawer	0,0,1,0,0,0,0	0,0,0,1,0,0,0	0,0,1,1,0,0,0	0,0,0,1,0,0,0	0,0,1,1,0,0,0
419	3127.xml	Searching	search,the,living,room,for,my,mobile,phone	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
420	3128.xml	Searching	search,the,living,room,for,the,remote,control	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
421	3129.xml	Motion	sorry,robot,can,you,go,to,the,kitchen	0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0	0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0
422	3129.xml	Change_operational_state	turn,on,the,coffee,machine	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
423	3130.xml	Taking	take,a,coffee,mug	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
424	3132.xml	Taking	take,my,trousers,on,the,bed	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0
425	3132.xml	Placing	put,them,in,the,washing,machine	1,0,0,0,0,0	0,0,1,0,0,0	1,0,1,0,0,0	0,0,1,0,0,0	1,0,1,0,0,0
426	3133.xml	Taking	take,my,wristwatch	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
427	3134.xml	Taking	take,the,apple,jam,jar	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
428	3135.xml	Taking	take,the,beer,cans,in,the,kitchen	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0
429	3136.xml	Taking	take,the,black,paperback,from,the,bookshelf	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0
430	3137.xml	Taking	take,the,bottle,of,water,on,the,table	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0	1,0,0,0,0,1,0,0
431	3138.xml	Taking	take,the,cereal,box	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
432	3139.xml	Taking	take,the,coffee,mugs,from,the,kitchen,cabinet	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0	1,0,0,0,1,0,0,0
433	3139.xml	Placing	put,them,on,the,table	1,0,0,0,0	0,0,1,0,0	1,0,1,0,0	0,0,1,0,0	1,0,1,0,0
434	3140.xml	Taking	take,the,coke,that,is,in,the,kitchen	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0	1,0,0,0,0,1,0,0
436	3141.xml	Taking	take,the,corn,can,on,the,kitchen,table	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0	1,0,0,0,1,0,0,0
437	3142.xml	Taking	take,the,forks,from,the,dishwasher	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0
438	3143.xml	Taking	take,the,glass,jar	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
439	3144.xml	Taking	take,the,knife,with,the,black,handle	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
440	3145.xml	Taking	take,the,magazine,that,is,in,the,bathroom	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0	1,0,0,0,0,1,0,0
442	3146.xml	Taking	take,the,orange,juice,from,the,fridge	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0
443	3147.xml	Taking	take,the,salt,box	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
444	3148.xml	Taking	take,three,coffee,cups	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
445	3148.xml	Bringing	bring,them,to,me	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
446	3150.xml	Being_located	there,are,some,napkins,on,the,kitchen,table	1,1,0,0,0,0,0,0	0,0,0,0,1,0,0,0	1,1,0,0,1,0,0,0	0,0,0,0,1,0,0,0	1,1,0,0,1,0,0,0
